Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2022-04-11,SHRIRAMFIN,1224.95,1224.95,1170.1,1183.95,1527861,0,Monday,,,False,False,,,False,True,,,False,True,,,False
2022-04-18,SHRIRAMFIN,1162.0,1189.0,1092.05,1108.0,5201666,0,Monday,,,False,False,-75.95000000000005,-6.41,False,True,,,False,True,,,False
2022-04-25,SHRIRAMFIN,1095.0,1239.0,1076.35,1202.05,12220024,0,Monday,,,False,False,94.04999999999995,8.49,True,True,,,False,True,,,False
2022-05-02,SHRIRAMFIN,1189.7,1257.45,1131.1,1183.8,6871103,0,Monday,1,,False,False,-18.25,-1.52,False,False,-25.84999999999991,-2.15,False,True,,,False
2022-05-09,SHRIRAMFIN,1178.0,1178.0,1047.1,1061.6,7782791,0,Monday,2,,True,False,-122.20000000000005,-10.32,False,False,-25.84999999999991,-2.15,False,True,,,False
2022-05-16,SHRIRAMFIN,1060.0,1126.8,1051.8,1096.0,5327640,0,Monday,3,,False,False,34.40000000000009,3.24,True,False,-25.84999999999991,-2.15,False,True,,,False
2022-05-23,SHRIRAMFIN,1100.0,1161.5,1100.0,1142.45,4988880,0,Monday,4,,True,False,46.450000000000045,4.24,True,False,-25.84999999999991,-2.15,False,True,,,False
2022-05-30,SHRIRAMFIN,1157.0,1200.0,1141.9,1178.5,6296305,0,Monday,5,,False,False,36.049999999999955,3.16,True,False,-25.84999999999991,-2.15,False,True,,,False
2022-06-06,SHRIRAMFIN,1176.0,1197.15,1142.55,1165.3,3398618,0,Monday,1,,False,False,-13.200000000000045,-1.12,False,True,105.14999999999986,8.94,True,True,,,False
2022-06-13,SHRIRAMFIN,1145.0,1175.0,1112.55,1149.05,5007074,0,Monday,2,,True,False,-16.25,-1.39,False,True,105.14999999999986,8.94,True,True,,,False
2022-06-20,SHRIRAMFIN,1150.0,1255.75,1116.45,1245.3,4501804,0,Monday,3,,False,False,96.25,8.38,True,True,105.14999999999986,8.94,True,True,,,False
2022-06-27,SHRIRAMFIN,1269.0,1297.2,1218.0,1265.7,5139253,0,Monday,4,,True,False,20.40000000000009,1.64,True,True,105.14999999999986,8.94,True,True,,,False
2022-07-04,SHRIRAMFIN,1251.0,1323.55,1250.0,1280.45,4007481,0,Monday,1,,False,False,14.75,1.17,True,False,98.40000000000009,7.68,True,True,,,False
2022-07-11,SHRIRAMFIN,1275.65,1318.0,1233.7,1314.65,3238326,0,Monday,2,,True,False,34.200000000000045,2.67,True,False,98.40000000000009,7.68,True,True,,,False
2022-07-18,SHRIRAMFIN,1332.0,1499.9,1323.0,1496.1,4941828,0,Monday,3,,False,False,181.44999999999982,13.8,True,False,98.40000000000009,7.68,True,True,,,False
2022-07-25,SHRIRAMFIN,1473.0,1509.0,1370.5,1379.75,6676261,0,Monday,4,,True,False,-116.34999999999991,-7.78,False,False,98.40000000000009,7.68,True,True,,,False
2022-08-01,SHRIRAMFIN,1380.0,1403.35,1333.55,1362.45,4220769,0,Monday,1,,False,False,-17.299999999999955,-1.25,False,True,-25.09999999999991,-1.82,False,True,,,False
2022-08-08,SHRIRAMFIN,1370.0,1425.3,1356.0,1367.95,3932711,0,Monday,2,,True,False,5.5,0.4,True,True,-25.09999999999991,-1.82,False,True,,,False
2022-08-15,SHRIRAMFIN,1365.0,1387.0,1327.05,1346.85,4271083,0,Monday,3,,False,False,-21.100000000000136,-1.54,False,True,-25.09999999999991,-1.82,False,True,,,False
2022-08-22,SHRIRAMFIN,1364.85,1364.85,1298.2,1333.35,3211911,0,Monday,4,,True,False,-13.5,-1.0,False,True,-25.09999999999991,-1.82,False,True,,,False
2022-08-29,SHRIRAMFIN,1302.25,1359.05,1300.0,1308.6,2361972,0,Monday,5,,False,False,-24.75,-1.86,False,True,-25.09999999999991,-1.82,False,True,,,False
2022-09-05,SHRIRAMFIN,1320.9,1391.55,1310.05,1324.1,4143871,0,Monday,1,,False,False,15.5,1.18,True,False,-157.10000000000014,-11.6,False,True,,,False
2022-09-12,SHRIRAMFIN,1331.25,1374.0,1268.0,1284.05,4382022,0,Monday,2,,True,False,-40.049999999999955,-3.02,False,False,-157.10000000000014,-11.6,False,True,,,False
2022-09-19,SHRIRAMFIN,1287.0,1318.5,1196.55,1203.15,3835528,0,Monday,3,,False,False,-80.89999999999986,-6.3,False,False,-157.10000000000014,-11.6,False,True,,,False
2022-09-26,SHRIRAMFIN,1191.15,1222.75,1146.0,1197.55,5322247,0,Monday,4,,True,False,-5.600000000000136,-0.47,False,False,-157.10000000000014,-11.6,False,True,,,False
2022-10-03,SHRIRAMFIN,1200.0,1218.0,1157.65,1199.1,3122624,0,Monday,1,,False,False,1.5499999999999545,0.13,True,True,31.600000000000136,2.64,True,True,,,False
2022-10-10,SHRIRAMFIN,1183.95,1217.85,1164.0,1183.9,2576317,0,Monday,2,,True,False,-15.199999999999818,-1.27,False,True,31.600000000000136,2.64,True,True,,,False
2022-10-17,SHRIRAMFIN,1180.2,1234.0,1172.0,1197.7,3227588,0,Monday,3,,False,False,13.799999999999955,1.17,True,True,31.600000000000136,2.64,True,True,,,False
2022-10-24,SHRIRAMFIN,1215.0,1283.85,1185.2,1274.7,2484685,0,Monday,4,,True,False,77.0,6.43,True,True,31.600000000000136,2.64,True,True,,,False
2022-10-31,SHRIRAMFIN,1273.95,1273.95,1195.85,1259.55,3897540,0,Monday,5,,False,False,-15.150000000000091,-1.19,False,True,31.600000000000136,2.64,True,True,,,False
2022-11-07,SHRIRAMFIN,1264.35,1299.0,1237.45,1276.75,1965055,0,Monday,1,,False,False,17.200000000000045,1.37,True,False,120.84999999999991,9.83,True,True,,,False
2022-11-14,SHRIRAMFIN,1279.9,1309.8,1225.3,1251.25,4435768,0,Monday,2,,True,False,-25.5,-2.0,False,False,120.84999999999991,9.83,True,True,,,False
2022-11-21,SHRIRAMFIN,1252.45,1362.95,1243.0,1280.15,7213032,0,Monday,3,,False,False,28.90000000000009,2.31,True,False,120.84999999999991,9.83,True,True,,,False
2022-11-28,SHRIRAMFIN,1274.0,1375.0,1247.0,1290.35,11222316,0,Monday,4,,True,False,10.199999999999818,0.8,True,False,120.84999999999991,9.83,True,True,,,False
2022-12-05,SHRIRAMFIN,1296.0,1366.75,1279.0,1344.05,5516433,0,Monday,1,,False,False,53.700000000000045,4.16,True,True,26.90000000000009,1.99,True,True,,,False
2022-12-12,SHRIRAMFIN,1340.0,1404.2,1328.25,1370.45,4980824,0,Monday,2,,True,False,26.40000000000009,1.96,True,True,26.90000000000009,1.99,True,True,,,False
2022-12-19,SHRIRAMFIN,1373.95,1419.5,1290.6,1301.5,2710061,0,Monday,3,,False,False,-68.95000000000005,-5.03,False,True,26.90000000000009,1.99,True,True,,,False
2022-12-26,SHRIRAMFIN,1301.55,1397.0,1251.35,1376.9,6700674,0,Monday,4,,True,False,75.40000000000009,5.79,True,True,26.90000000000009,1.99,True,True,,,False
2023-01-02,SHRIRAMFIN,1381.0,1390.0,1287.0,1294.65,2296539,0,Monday,1,1,False,False,-82.25,-5.97,False,False,-90.30000000000018,-6.56,False,False,-44.30000000000018,-3.22,False
2023-01-09,SHRIRAMFIN,1300.0,1343.85,1267.6,1283.2,2699926,0,Monday,2,2,True,True,-11.450000000000045,-0.88,False,False,-90.30000000000018,-6.56,False,False,-44.30000000000018,-3.22,False
2023-01-16,SHRIRAMFIN,1289.0,1301.55,1256.15,1277.3,2513422,0,Monday,3,3,False,False,-5.900000000000091,-0.46,False,False,-90.30000000000018,-6.56,False,False,-44.30000000000018,-3.22,False
2023-01-23,SHRIRAMFIN,1282.1,1296.95,1230.0,1241.05,1374556,0,Monday,4,4,True,True,-36.25,-2.84,False,False,-90.30000000000018,-6.56,False,False,-44.30000000000018,-3.22,False
2023-01-30,SHRIRAMFIN,1239.0,1366.9,1227.4,1279.05,5009795,0,Monday,5,5,False,False,38.0,3.06,True,False,-90.30000000000018,-6.56,False,False,-44.30000000000018,-3.22,False
2023-02-06,SHRIRAMFIN,1260.0,1320.0,1260.0,1278.6,2108238,0,Monday,1,6,False,True,-0.4500000000000455,-0.04,False,True,-83.25,-6.47,False,False,-44.30000000000018,-3.22,False
2023-02-13,SHRIRAMFIN,1278.6,1284.7,1230.5,1234.1,1891555,0,Monday,2,7,True,False,-44.5,-3.48,False,True,-83.25,-6.47,False,False,-44.30000000000018,-3.22,False
2023-02-20,SHRIRAMFIN,1258.8,1258.8,1195.1,1218.45,2366240,0,Monday,3,8,False,True,-15.649999999999864,-1.27,False,True,-83.25,-6.47,False,False,-44.30000000000018,-3.22,False
2023-02-27,SHRIRAMFIN,1218.45,1231.45,1190.0,1216.9,4433747,0,Monday,4,9,True,False,-1.5499999999999545,-0.13,False,True,-83.25,-6.47,False,False,-44.30000000000018,-3.22,False
2023-03-06,SHRIRAMFIN,1220.0,1314.7,1220.0,1269.65,12863496,0,Monday,1,10,False,True,52.75,4.33,True,False,56.05000000000018,4.66,True,False,-44.30000000000018,-3.22,False
2023-03-13,SHRIRAMFIN,1270.75,1283.85,1223.0,1246.0,3396770,0,Monday,2,11,True,False,-23.65000000000009,-1.86,False,False,56.05000000000018,4.66,True,False,-44.30000000000018,-3.22,False
2023-03-20,SHRIRAMFIN,1274.9,1288.65,1203.55,1233.2,3345596,0,Monday,3,12,False,True,-12.799999999999955,-1.03,False,False,56.05000000000018,4.66,True,False,-44.30000000000018,-3.22,False
2023-03-27,SHRIRAMFIN,1232.0,1281.9,1202.15,1259.4,2138517,0,Monday,4,13,True,False,26.200000000000045,2.12,True,False,56.05000000000018,4.66,True,False,-44.30000000000018,-3.22,False
2023-04-03,SHRIRAMFIN,1266.0,1307.0,1266.0,1303.85,1087276,0,Monday,1,14,False,True,44.44999999999982,3.53,True,True,73.19999999999982,5.81,True,False,-44.30000000000018,-3.22,False
2023-04-10,SHRIRAMFIN,1303.85,1312.0,1277.0,1296.6,1280350,0,Monday,2,15,True,False,-7.25,-0.56,False,True,73.19999999999982,5.81,True,False,-44.30000000000018,-3.22,False
2023-04-17,SHRIRAMFIN,1300.0,1373.55,1295.9,1358.85,2337160,0,Monday,3,16,False,True,62.25,4.8,True,True,73.19999999999982,5.81,True,False,-44.30000000000018,-3.22,False
2023-04-24,SHRIRAMFIN,1361.0,1469.3,1309.0,1332.6,8072374,0,Monday,4,17,True,False,-26.25,-1.93,False,True,73.19999999999982,5.81,True,False,-44.30000000000018,-3.22,False
